nickname,content,ip_location,create_date_time
candyleng25,"我相信龙是存在的,只是我们看不到",,2023-08-18 02:37:25
solomonchoong,龙是真实存在的生物，只是它生活的地方是在天空，所以才不容易发现它们。,,2023-08-16 17:21:09
kaijietay267272728,龙哦,,2023-08-09 22:29:47
kimmengloh,应该是UFO,,2023-08-10 05:28:28
bmw19760219,感恩接收,,2023-08-09 14:29:12
andy.wong45,電腦搞活動,,2023-09-26 10:16:47
skyboar828,デザインも中華風になるのか。,,2023-08-11 00:29:24
user7319691888548,風箏,,2023-08-09 23:25:51
17sha6,진짜룡?,,2023-08-09 12:00:38
marin_kiagwa,凱多,,2023-09-14 15:00:40
a0943605,1海龍王顯現,,2023-08-12 14:08:35
user28awgzf8uh,別叫醒我,,2023-08-09 15:36:47
iulove520,等有外星人來造訪時我一定會相信有龍,,2023-09-13 21:26:44
dessiana01,halu,,2023-08-10 08:22:26
awmesawmes,第二个不像假的,,2023-08-25 05:13:08
mekao710627,真的！我昨天去打飛鼠還看到土龍放大絕招害我嚇得獵槍丟了就跑,,2023-10-23 21:12:00
boonhweesheh,意味着科技越来越进步了,,2023-08-22 16:37:49
daren_lim,龙,,2023-08-10 00:51:35
kriserming,天天做白日梦,,2023-08-11 13:51:16
zixiaxianzi1,真假难辨 各说纷云 因人而异 见人见之。若想知真伪，观先观水，但没一定修为的人看水还是水。,,2023-10-22 02:02:17
uhowaue616,太酷啦,,2023-08-12 18:05:57
user5142117675883,行云布雨,,2023-08-09 15:10:20
yu_mihoyo_gamer,飲月要降架了,,2023-10-27 11:33:12
kung650410,,,2023-08-12 14:14:59
user2532431753295,意味著什麼？意味著現在科技的進步,,2023-09-10 18:04:45
ru.zhou,鱼在水里，才能生存，人类在空气中才能生存，我们的共同特点是都生活在物质里，龙或许是生活在物质以外的生物，列入鱼跳出水面就相当于我们人类跳出地球大气层之外。,,2023-09-14 15:46:58
q232006,龍的形象是人類自行想像的,,2023-10-19 19:26:34
jimmycheong06,幻觉吧，,,2023-10-23 08:50:08
userd215ol3wxo,下次要用望眼鏡拍出來就有證據了！,,2023-09-09 16:13:27
jhiyoott,不要想太多，真正是不会给你看到的，有句话说真人不若相，若相非真人,,2023-10-23 11:17:20
tkoriqoo1fz,,,2023-08-17 05:54:51
kim.yoo31.2,梦到过龙和凤，没见过,,2023-09-04 17:15:26
user5475666806033,"在泰国寺庙有看到龙形装饰,看来也不只是华人崇拜龙,或者是我的一种误会,在泰国人的定义下那并不是龙",,2023-10-05 06:20:12
user9pdgx47llb,暴鯉龍,,2023-10-25 04:19:48
babylem520,❤️,,2023-08-30 15:16:29
chen.smith5,是四皇凱多嗎？,,2023-10-25 14:29:15
user6379699882669,我曾在地母廟上空看到一條雲做的龍，我沒拍照，我知道一拿手機牠就跑了。,,2023-09-03 09:09:07
31984179409,無人機在上面飛,,2023-08-12 16:18:32
axingsonlymood,恐龙抗狼？,,2023-09-24 15:05:26
dy25kvl2923g,龍的鱗片可以讓他漂浮在空中也不無可能,,2023-09-10 06:47:48
halohalloween8,那个第3的，有人在渡劫,,2023-10-27 00:12:37
likoontey,我也相信龙的同在因为我是生肖龙的不喜欢就是龙,,2023-10-23 23:42:53
imhank1999,我也有看到 睡覺的時候,,2023-10-28 18:08:05
user7287195619652,我信了 因我小学时在夜晚的天空也亲眼目睹过龙与蛇在空中打斗,,2023-10-22 05:31:03
tangjason25,@yuexi_0208 ,,2023-08-11 03:57:52
xain_18.09.26,@多多綠❤️假的吧,,2023-10-23 22:06:59
lolove003001,外星人都存在了，龍又為何不能存在呢？,,2023-10-20 08:57:39
frish759,青眼白龍ㄅ,,2023-10-28 11:38:48
user79247381425995,AI,,2023-10-20 21:05:32
randy9191,,,2023-08-09 12:49:08
userrhrm73yl6t,意感是美人魚吧,,2023-09-08 08:47:24
zongqing.liu,有没有想过，他没有翅膀怎么能飞起来,,2023-10-21 16:29:59
user09rbij61eo,閃電 雲與雲層間的光影,,2023-10-24 22:59:02
kc.mak2,,,2023-08-14 12:28:23
userzug890,,,2023-08-09 20:36:12
user1750316619401,如果，真有龙，那它去那里休息了,,2023-10-24 13:46:43
alextan9071,,,2023-08-16 15:44:16
hantaehwa1,,,2023-08-09 14:08:59
yuxuan268,,,2023-09-28 01:47:43
sengko44,,,2023-08-16 09:20:18
wingcheok2023,12生肖全部是活生生的存在的，只有他龍，既然把他歸類，肯定存在，也許氣候問題或者生存環境滅絕了，比如古代皇帝，找個虛擬東西代表自己嗎？為什麼說中國人是龍的傳人,,2023-10-20 14:57:18
apple27015,世上的事誰也說不準。我看過三次鬼說給別人聽。也沒人信。真的,,2023-10-24 13:07:23
user7301630505479,有的話 那他們應該都會化形,,2023-10-20 15:51:31
146866218,,,2023-08-13 08:38:22
siau.mey.lim,这···,,2023-10-24 09:38:53
userayo1mp9tlu,我只有被一條龍服務過,,2023-10-30 23:08:28
xain_18.09.26,@多多綠❤️假的吧,,2023-10-23 22:06:59
kim.yoo31.2,梦到过龙和凤，没见过,,2023-09-04 17:15:26
user5475666806033,"在泰国寺庙有看到龙形装饰,看来也不只是华人崇拜龙,或者是我的一种误会,在泰国人的定义下那并不是龙",,2023-10-05 06:20:12
user9pdgx47llb,暴鯉龍,,2023-10-25 04:19:48
user8372660910718,只有中国才有？,,2023-09-20 12:52:14
likoontey,我也相信龙的同在因为我是生肖龙的不喜欢就是龙,,2023-10-23 23:42:53
babylem520,❤️,,2023-08-30 15:16:29
chen.smith5,是四皇凱多嗎？,,2023-10-25 14:29:15
user8314781723176,,,2023-08-09 09:44:10
user6379699882669,我曾在地母廟上空看到一條雲做的龍，我沒拍照，我知道一拿手機牠就跑了。,,2023-09-03 09:09:07
31984179409,無人機在上面飛,,2023-08-12 16:18:32
user6880686992483,龍？有集到七顆球球嗎？我上次在我家附近商店買咖啡的時候看到18號餒…,,2023-10-24 20:35:05
axingsonlymood,恐龙抗狼？,,2023-09-24 15:05:26
dy25kvl2923g,龍的鱗片可以讓他漂浮在空中也不無可能,,2023-09-10 06:47:48
lilyjian7,黑科技 全息投影,,2023-09-20 02:48:05
zhengxiongyang,恩，你讲我在听,,2023-08-31 19:38:19
halohalloween8,那个第3的，有人在渡劫,,2023-10-27 00:12:37
kaikai14170,剪辑,,2023-10-22 13:49:58
lin77635,,,2023-10-22 11:30:50
meng.ri.ren,"在马沙华丽河口上流那一段也有龙出现,很多村民见到",,2023-10-06 04:33:25
imhank1999,我也有看到 睡覺的時候,,2023-10-28 18:08:05
user7287195619652,我信了 因我小学时在夜晚的天空也亲眼目睹过龙与蛇在空中打斗,,2023-10-22 05:31:03
user28417572,我忘了帶寶貝球,,2023-09-30 06:36:34
sunevesna,,,2023-08-17 03:41:53
tangjason25,@yuexi_0208 ,,2023-08-11 03:57:52
wongpoithet,,,2023-08-10 02:23:02
cherriemango,,,2023-08-11 01:39:02
jhiyoott,不要想太多，真正是不会给你看到的，有句话说真人不若相，若相非真人,,2023-10-23 11:17:20
goldbillion.mas,,,2023-11-05 15:29:20
jessitay2,Edit,,2023-08-21 12:45:33
jessitay2,Edit,,2023-08-21 12:45:33
user6607526013575,如果有早就上新聞了,,2023-08-18 04:14:26
user3524196790022,大氣生物！,,2023-08-10 23:17:18
asura526,看過1次疑似貔貅的部分閃現即逝,,2023-12-20 14:13:32
kaka55157,基多拉,,2023-08-09 21:58:31
kent.yap282,幻觉来的,,2023-08-09 20:42:24
userlqmtbhezjv,希望有天換我看到,,2023-08-09 20:30:11
cn001621,合成的,,2023-08-31 18:04:56
tseemhlubliqub520,我搞不明白 龙不像鸟一样 它怎么可以飞！,,2023-08-09 12:55:14
user2728167090060,你就好好想想，十二生肖里的为什么会有龙就知道了,,2023-09-05 13:25:08
leochia_,是的蒸笼,,2023-08-21 06:57:14
mr.dong0817,"路邊一堆啊
蒸籠",,2023-08-21 04:43:47
zhengxiongyang,监控拍到的不是龙是特效,,2023-08-31 19:39:07
poolliver313,真的有，停在红绿灯，工厂上面，白色的直上，慢慢不见了,,2023-08-31 18:27:31
dy8el41nkypb,意味著我還沒睡飽,,2023-08-13 11:34:31
ha._0205,要是龍現在存在，那我不得能上天,,2023-08-12 18:13:39
jamei0829,哈哈哈哈 嘴會發奇蹟,,2023-08-12 13:48:26
joewen888,遇龍 王鶴棣,,2023-08-21 22:47:39
user7192974636602,国家有难，东西南北各龙王现身，唯持阵法。保謢老百姓。,,2023-08-23 03:13:17
imalannnn_,I got one of this video too happen in sg . I post it on my ig but people don't seem to believe. I can check my history out on IG. send u,,2023-08-10 19:51:51
xsaric,gci?,,2023-08-09 12:58:39
mony5253,❤️,,2023-09-05 08:12:10
user7684985305540,haizz 想太多了,,2023-09-02 11:08:25
user2362371290287,都是p的,,2023-08-31 14:16:32
jackyfirst800,说了也没人信，我曾在现场,,2023-08-09 16:20:51
user2378528281840,我是秦始皇,,2023-08-10 01:05:55
user3199902099143,中国ってCG好きだよなバレバレなのに,,2024-04-13 23:51:08
userkzydxukpjd,阿畢甲當嘎寶記如來,,2023-08-22 15:24:19
7cr28,笑死我,,2023-09-23 21:34:13
lp388,不像燈光效果啊？,,2023-09-01 15:44:03
sonchangyong2,cg임,,2023-08-11 09:31:41
the87boy,如果是真的就好了,,2023-08-24 02:57:58
jnjt8,Is this real. Why always happen in China. Not other country???????,,2023-08-09 09:41:15
geegee881,So fake,,2023-08-10 20:44:52
chiamchristopher,fake,,2023-08-09 05:51:30
limyongxing,fake video,,2023-08-11 03:30:31
liwenlim520,我看过龙，身体很大很大，真的很美，没有人相信没关系我自己知道就好,,2023-08-09 23:40:36
useruyzz11a9zr,鬼才信，一個充滿謊言的國家,,2023-08-09 08:55:25
user1214146188042,mantap jiwa,,2023-08-10 11:04:47
dy9feanbagql,意味著 大家都很閒 猛做影片,,2023-08-13 10:23:27
mineblowing8,是龙还是蛟龙？可能是刚好蛟龙渡劫成功了变成了龙升天,,2023-08-10 16:50:19
loong138,不要被骗,,2023-08-10 17:58:36
jefte1189,完全都是骗人的啦~,,2023-08-10 12:29:58
08170817_nemo,超假,,2023-08-10 08:25:01
qwe77647,真有病,,2023-08-10 06:01:46
irisw_gtr34,大郎， 該吃藥了,,2023-08-09 21:56:32
guizai9,太假了,,2023-08-10 13:05:11
i__miss__u_,能再假点吗,,2023-08-09 09:43:35
guizai9,太假了,,2023-08-10 13:05:11
i__miss__u_,能再假点吗,,2023-08-09 09:43:35
jasonlin6020,意味着骗子又多起来了,,2023-08-10 17:26:13
gg950404,我覺得龍存在 因為你跟後代講說 在我們那個時候有一種鳥會講話（鸚鵡） 後代也不信,,2023-08-23 04:49:48
blue68boy,大陸人真會，來點會的好嗎？,,2023-08-10 05:32:11
dy14i8d7jtzb,假的,,2023-08-10 04:58:32
visfang,有夠假了不起,,2023-08-11 17:14:03
usergq41q85dvl,這種影片全世界也只有一個國家才會有的,,2023-08-11 17:04:23
userjqxup8d8vk,有她妈的招摇,,2023-08-10 03:54:48
choi5858588,鳄鱼,,2023-08-10 03:47:17
wsx22474091,誰說華廈無神的,,2023-08-09 22:51:05
user8151023995653,龙頭 ,,2023-08-09 10:16:52
yuopc81,大氣鯤鵬生物之一飛龍,,2023-08-09 12:05:03
user4502861916714,龍,,2023-08-09 23:56:01
user538219252686,"太陽底下.沒有新鮮事.
只有孤陋寡聞的人.因為福報因緣不俱全.怎能誏你看!
看不到即說.沒有！！那就是邪見.
天上有.：龍部（龍家族）.虎部、雷部；各司.風.雨.雷电
多聞.多作些福德.自然有開目的一見
決無妄言",,2023-08-09 10:35:25
userjh55jjfr4u,大陸真的蠻有趣的,,2023-08-10 13:46:12
abcd_830212,P著p著 就沒人覺得是假的了,,2023-08-10 02:21:02
wu_jizu1,龍,,2023-08-13 10:42:39
s680720,那觀音菩薩要來了,,2023-08-10 15:08:34
crliu,宋七力在龍上,,2023-08-23 20:43:51
kei0857,為什麼不出現我面前,,2023-08-09 08:55:29
ming_981613,別再騙人了...目前只有一個頻道真實拍到龍！其他都在合合合合合...大作戰...！！,,2023-08-09 11:19:38
pic55355555,斗不遇人類的。,,2023-08-09 11:59:34
hk416a5,這就跟只有在美國看的到UFO 一樣，也只有在大陸看得到真龍,,2023-08-09 11:28:00
userld89rfkr0z,我信你个鬼,,2023-08-09 07:32:13
peterlu00,還8,,2023-08-10 19:00:03
user8314781723176,主编可以再认真看看，说不定可以看到太奶奶,,2023-08-09 09:44:39
user8k2tipbhe9,假的吧？,,2023-08-09 09:44:41
user708677015,科技發達後後製影片也多了,,2023-08-14 11:49:35
user25597959967917,高貴的動物,,2023-08-12 04:57:12
user8010501077554,AI,,2023-08-10 17:57:56
user86855318128103,還有很多龍沒被發現，他們不敢在出來了,,2023-08-10 16:07:20
30278715041,假鬼假怪,,2023-08-10 14:56:00
ericoc1982,我在中國被一條龍服務過,,2023-08-10 13:05:14
user3850467254958,可笑 的AI,,2023-08-10 00:04:26
userqzjh9bffbw0,龍型風箏,,2023-08-09 12:10:25
season_of_wind,灵气复苏，众仙回归，找个漂亮妹子双休，早登极乐世界。,,2023-08-09 10:22:29
wjc0611,騙人的,,2023-08-13 12:31:12
huangtianhong,科技帶進幻想,,2023-08-23 13:50:49
chleelee45,很假耶,,2023-08-09 12:33:19
joyco5202,不一定是真的你們都沒有看到為什麼要說是p的,,2023-08-22 15:52:56
dyspfequa9nm,假的,,2023-09-06 00:41:56
user4138009995743,"假的啦！
不要太相信好嗎？",,2023-08-09 13:14:37
user9106136553066,如果是真的，那牠是怎麼飛起來的，看起來沒有翅膀啊，一條蜥蜴可以飛？,,2023-08-10 12:36:34
dyu7e6b374tv,還真會p,,2023-08-10 07:14:18
nba2333,假的,,2023-08-09 21:54:44
marcusk74,在中国就每次看到龙。在美国就每次看到UFO。,,2023-08-09 18:30:01
dyzc9sbvzblu,啊呀！需要这样骗吗？,,2023-08-09 13:04:11
ddijsjesknzk,胡说八道,,2023-08-10 12:19:12
ddijsjesknzk,胡说八道,,2023-08-10 12:19:12
userauh0azg5tf,假的,,2023-08-09 16:10:06
user305594424253,灵气复苏，天灾先行,,2023-08-09 13:18:52
marioliou8,太扯,,2023-08-09 13:15:11
maiker1988,一派胡言,,2023-08-10 06:17:12
chaiwuo,如果這些視頻放在30/40年前。可能會有人相信！,,2023-08-12 16:52:52
userzmkg128,別以為我那麼好騙,,2023-08-11 01:03:21
user468032752,太假了,,2023-08-10 13:06:36
assaking313,你芶屁啦,,2023-08-10 04:53:13
user4817485561939,我见过，小学5年级的时候上晚自习，天都快黑了，看见天上蛇爬一样的东西，有点带金色的，离学校差不多有3公里左右吧，记不清头长什么样子了，应该有100多米长吧,,2023-08-10 02:36:33
mulanphang,好假,,2023-08-09 12:31:44
user4679977948654,七龍珠不要看太多,,2023-08-16 15:02:22
dychmhg5hlb3,麥擱貢啊……窩相信了,,2023-08-12 21:35:38
huyeyou999,我看過黑色似龍的腳、之後又出現一雙白色的翅膀、在白色的厚雲中、沒多久就下了好幾天的大雨、可是視頻大都沒有翅膀？,,2023-08-09 13:55:26
user7125423669040,還好吧！我上次在海上還看到哥吉拉,,2023-08-10 15:23:58
kincheong13,真的有龙，我朋友说他被一条龙服务过……。,,2023-08-09 14:13:18
ktvlove9487,就像頭獎號碼一樣全台永遠只有一個人獨猜到那組號碼的假,,2023-08-10 22:54:21
kunyi62,"就美国天空拍到UFO
就只有中国天空拍到龙呗",,2023-08-11 09:41:02
user5680066942824,很假,,2023-08-10 08:04:08
nibaba690,假不假，搞笑,,2023-09-08 13:43:58
user7190885818163,意味著越來越多人會p圖了,,2023-08-10 21:30:39
user0wzlop1gdt,很假,,2023-08-13 09:47:33
huanghelong2,龙没有翅膀怎么飞？ 呵呵,,2023-08-12 15:16:00
user5401027763360,真假,,2023-08-24 20:32:53
du_rrr,这不把台风赶走呢不,,2023-08-11 03:09:38
squallbox98989,意味著你們要做水災了,,2023-08-24 18:56:45
littleyuhuang,吃哪批？,,2023-08-24 16:46:38
namahsamatavajranamham,震撼！各地假龍,,2023-08-24 14:51:04
royten998,这是天意真龙番生这代表什么！用你的直接想想吧！,,2023-08-24 13:58:51
user83029487259290,最好可以拍到,,2023-08-11 03:56:02
user9827459758449,大陸只會做假,,2023-08-24 11:04:01
phucloc061,rồng bay vậy mà đập vào dây diện cao áp chắc thành món rồng nướng,,2023-08-11 16:16:39
purpleforever71,好了喔特效要弄多久,,2023-08-28 04:16:58
userm2te6j7wiw,靈氣復甦 修仙時代 要開啟了,,2023-08-11 14:44:31
user9ebihq4zkr,賣假阿啦,,2023-08-11 12:09:14
user9ebihq4zkr,給你答案，全都在天氣不好時,,2023-08-11 12:08:45
blinkaunsel,我曾经被一条龙服务过,,2023-08-27 15:58:54
user9ebihq4zkr,要一一解釋嗎,,2023-08-11 12:07:09
user9ebihq4zkr,風針啦,,2023-08-11 12:05:21
qooevo,都說是東方聚聾了 還有蝦呀,,2023-08-27 08:45:29
fuck30657842674,好假,,2023-08-11 11:22:57
user6fpj328m79,有的假,,2023-08-25 15:35:48
user229501087144,好短的龍,,2023-08-11 09:58:28
aaa0955282972,假的,,2023-08-11 09:52:49
r0977197369,有大災爛要降臨了,,2023-08-11 09:07:22
janisloh,我相信 世界上真的有龙 因为我和家人去怡保的一间佛堂 当时天快要下雨了 我们到了佛堂 就一起下车 这是我们和佛堂那里的人 都亲眼目睹 看到天上出现了一条龙,,2023-08-27 18:45:06
danieljames7573,BS,,2023-08-11 08:40:20
ck85782,那黑云罢了,,2023-08-11 07:25:43
jets6336,我相信有龍保麗龍,,2024-04-23 18:35:29
adamchong1862,這是外星人的va飛船把,,2023-08-13 13:02:18
1386mrng,我十多年前和同事出门打包食物，记得那时是傍晚下着雨，回店铺的路上两人看着远处天空有条龙的半身很快的快速穿进云层，我喊朋友有看到吗？他说有有,,2023-08-31 02:02:18
gooyongjiez,"相信我,日本人那场台风就是龙干嘛~~~",,2023-08-31 01:33:36
exclusiveme555,我相信。很多人在洩洪時候看到,,2023-08-30 20:50:32
the_cranberries20180115,我信你個鬼，龍又沒翅膀，也沒裝引擎，它是怎麼在空中飛的？根本完全違反物理常識。,,2023-08-12 12:08:12
kit_lun,️,,2023-08-12 11:40:05
jasonyen_999,動畫可以做的像一點嗎?,,2023-08-30 13:31:59
dyo3iemqazix,部分影片，早在好幾年前都證實造假了,,2023-08-12 06:25:10
kkt99887766,,,2023-08-12 06:02:14
wangamanda28,东方某明明是只羊却总冒充龙，龙特意来看看,,2023-08-12 05:44:50
chenyifan86,这个世界真的有龙，我爸跟我说过他被一条龙服务过,,2023-08-30 05:21:01
zxc960080,假的吧,,2023-08-12 04:23:48
black177578,阿六,,2023-08-29 23:23:44
hsiao2955,跟阿嬤的牙齒一樣真啊！,,2023-08-12 01:08:11
markley5,你們的專家，就是專門唬弄人家,,2023-08-11 22:04:15
52055q,真是的 我不再 這些小傢伙就出來遊玩 好吧～就讓妳們好好的玩 玩足了就回去,,2023-08-29 16:31:17
jenny527058,別再玩風箏了….,,2023-08-11 19:59:54
leon333750,中共國還有啥事不能假？,,2023-08-11 19:58:03
kidswithaway,聋,,2023-08-12 14:10:32
cahmkang,사악한 용이네.ㅋ,,2023-08-28 15:43:53
minshengtku,中华人民共和国果然無所不造假,,2023-08-11 17:12:02
user1833093884466,整天放屁,,2023-08-13 01:40:32
caichenjie,不過是龍！沒什麼嘛！,,2023-08-28 09:18:20
user2061427586131,為什麼人們總是相信傳說，一點依據也沒有的東西，傳說中我小時候看過10顆太陽，下一秒被后羿一口氣射下了9顆，那些太陽分別散落在宇宙中不會發亮了,,2023-08-11 16:17:01
phucloc061,rồng bay vậy mà đập vào dây diện cao áp chắc thành món rồng nướng,,2023-08-11 16:16:39
a26b2153aiv,太明顯的都是假的,,2023-08-14 01:51:04
purpleforever71,好了喔特效要弄多久,,2023-08-28 04:16:58
userm2te6j7wiw,靈氣復甦 修仙時代 要開啟了,,2023-08-11 14:44:31
janisloh,我相信 世界上真的有龙 因为我和家人去怡保的一间佛堂 当时天快要下雨了 我们到了佛堂 就一起下车 这是我们和佛堂那里的人 都亲眼目睹 看到天上出现了一条龙,,2023-08-27 18:45:06
user9ebihq4zkr,賣假阿啦,,2023-08-11 12:09:14
user9ebihq4zkr,給你答案，全都在天氣不好時,,2023-08-11 12:08:45
blinkaunsel,我曾经被一条龙服务过,,2023-08-27 15:58:54
user9ebihq4zkr,要一一解釋嗎,,2023-08-11 12:07:09
cannan167,是真的，龍王還找我買了塊勞力士,,2023-08-16 09:45:28
user9ebihq4zkr,風針啦,,2023-08-11 12:05:21
qooevo,都說是東方聚聾了 還有蝦呀,,2023-08-27 08:45:29
fuck30657842674,好假,,2023-08-11 11:22:57
jd1553,意味著影片後製變多了,,2023-08-16 17:45:23
user6fpj328m79,有的假,,2023-08-25 15:35:48
user229501087144,好短的龍,,2023-08-11 09:58:28
aaa0955282972,假的,,2023-08-11 09:52:49
aaa710806,我褲襠裏也有！,,2023-08-17 05:24:08
r0977197369,有大災爛要降臨了,,2023-08-11 09:07:22
danieljames7573,BS,,2023-08-11 08:40:20
ck85782,那黑云罢了,,2023-08-11 07:25:43
jets6336,我相信有龍保麗龍,,2024-04-23 18:35:29
jenny527058,別再玩風箏了….,,2023-08-11 19:59:54
leon333750,中共國還有啥事不能假？,,2023-08-11 19:58:03
cahmkang,사악한 용이네.ㅋ,,2023-08-28 15:43:53
minshengtku,中华人民共和国果然無所不造假,,2023-08-11 17:12:02
caichenjie,不過是龍！沒什麼嘛！,,2023-08-28 09:18:20
david680112,有AI以後全球各地都出現異象和各種珍奇異獸,,2023-09-03 05:29:54
user2061427586131,為什麼人們總是相信傳說，一點依據也沒有的東西，傳說中我小時候看過10顆太陽，下一秒被后羿一口氣射下了9顆，那些太陽分別散落在宇宙中不會發亮了,,2023-08-11 16:17:01
phucloc061,rồng bay vậy mà đập vào dây diện cao áp chắc thành món rồng nướng,,2023-08-11 16:16:39
purpleforever71,好了喔特效要弄多久,,2023-08-28 04:16:58
hibiki8899,在唬爛一點,,2023-08-20 14:03:05
userm2te6j7wiw,靈氣復甦 修仙時代 要開啟了,,2023-08-11 14:44:31
janisloh,我相信 世界上真的有龙 因为我和家人去怡保的一间佛堂 当时天快要下雨了 我们到了佛堂 就一起下车 这是我们和佛堂那里的人 都亲眼目睹 看到天上出现了一条龙,,2023-08-27 18:45:06
user9ebihq4zkr,賣假阿啦,,2023-08-11 12:09:14
kenyau41,我們看雲朵上的飛機也只有小米粒般大小，這雲朵上也能看到是有多大？按比例最少也超過幾百公里吧？,,2023-08-21 06:44:10
user9ebihq4zkr,給你答案，全都在天氣不好時,,2023-08-11 12:08:45
blinkaunsel,我曾经被一条龙服务过,,2023-08-27 15:58:54
user9ebihq4zkr,要一一解釋嗎,,2023-08-11 12:07:09
user9ebihq4zkr,風針啦,,2023-08-11 12:05:21
qooevo,都說是東方聚聾了 還有蝦呀,,2023-08-27 08:45:29
fuck30657842674,好假,,2023-08-11 11:22:57
user6fpj328m79,有的假,,2023-08-25 15:35:48
wilverinezyh,大叫一声：“你过来呀！”,,2023-08-22 13:09:39
user229501087144,好短的龍,,2023-08-11 09:58:28
aaa0955282972,假的,,2023-08-11 09:52:49
r0977197369,有大災爛要降臨了,,2023-08-11 09:07:22
user2434441140455,快點睡~夢裡什麼都有,,2023-09-06 00:26:47
danieljames7573,BS,,2023-08-11 08:40:20
ck85782,那黑云罢了,,2023-08-11 07:25:43
jets6336,我相信有龍保麗龍,,2024-04-23 18:35:29
mssshuai,啥也看不清，那就是忽悠人假的,,2023-08-24 23:01:47
jets6336,我相信有龍保麗龍,,2024-04-23 18:35:29
mssshuai,啥也看不清，那就是忽悠人假的,,2023-08-24 23:01:47
ongongong80,,,2023-08-09 15:38:06
stevenchanyihuat,Yes! only in whealther is cool or coming to rain ,,2023-08-08 11:35:34
mony5253,,,2023-09-05 11:46:28
kahkahsoon,it's ah long,,2023-08-08 10:57:20
kazumikazumi88,龍になぜか会ってみたいと思うのは自分だけですか？,,2024-01-07 13:22:58
dy0981vnxr7d,お、レックウザの色違いだやった！！,,2024-01-03 17:34:38
maru3314,黒い龍は怒りを表している時ですね,,2024-01-03 17:31:16
user0f8k6en9bi,なんかこういうの見ると世界の隅々まで知りたくなる,,2024-01-13 04:43:39
good_luck_slf,我被一条龙服务过,,2023-08-09 13:08:01
jaguar12100,中國是台灣的！,,2023-09-07 14:01:46
zong._.y,我小時候看過黑色的龍，我那時候以為是蛇,,2023-08-09 05:52:45
samchiu_0609,烈空座？,,2023-08-08 17:21:43
