nickname,content,ip_location,create_date_time,Avatar,Name,Likes,Comment,Date
adama.diallo967,,,2024-04-07 21:55:28,,,,,
user6006928817069,,,2024-04-07 23:45:51,,,,,
user2241266281354,,,2024-04-07 20:52:54,,,,,
gandia294,,,2024-04-07 21:27:56,,,,,
abdoulaye.mane60,,,2024-04-07 20:02:04,,,,,
eduardomartins0925,,,2024-04-07 21:29:58,,,,,
moussakonate366,,,2024-04-07 20:45:30,,,,,
asse.dibe,❤️❤️❤️,,2024-04-07 19:43:24,,,,,
rennefah,,,2024-04-07 20:53:02,,,,,
koffi.serge.kouad,,,2024-04-07 19:43:12,,,,,
adamou7998,,,2024-04-07 20:20:53,,,,,
loverzinha1712,,,2024-04-07 21:32:07,,,,,
m.h.d019,,,2024-04-07 20:21:20,,,,,
biguethiam19,,,2024-04-07 20:28:56,,,,,
adama.diallo967,,,2024-04-07 21:55:24,,,,,
tecnoworld362,,,2024-04-07 20:03:56,,,,,
leetianching,,,2024-04-25 01:45:40,,,,,
theophelousmarair,thats why i love Chinese tik talk it's educational always,,2024-04-06 11:58:51,,,,,
user6607286803169,ok,,2024-04-07 20:54:26,,,,,
juana.guzman.carb,Dios juzgar,,2024-04-08 00:26:42,,,,,
user3476002165716,,,2024-04-07 20:45:59,,,,,
silimadiarra510,cv,,2024-04-07 23:39:25,,,,,
diakariacongaradi,jaunes bien,,2024-04-07 23:39:37,,,,,
meshataylor105,I need these moves for when the GM come to me with crap ,,2024-04-07 22:41:31,,,,,
sami_adiquala,Chinese primary schools and kindergartens are military for kids,,2024-04-07 20:04:51,,,,,
donpepe825,Ma promotion  ,,2024-04-07 19:49:36,,,,,
alhassanmansaray83,hi,,2024-04-07 20:08:07,,,,,
danajibade3,@,,2024-04-07 20:07:24,,,,,
user7594665206508,,,2024-04-07 19:45:42,,,,,
josephdarko458,"good performance, come and see African little girls, their mothers always teaches them how to catch men with private cars when they grow up",,2024-04-08 00:00:55,,,,,
user26.773,Бравоооооо! ♥️♥️♥️♥️♥️♥️♥️,,2024-04-08 00:29:32,,,,,
juana.guzman.carb,no.matara,,2024-04-08 00:26:28,,,,,
choc1350,,,2024-04-07 22:45:37,,,,,
cali17776,china los alista para que sean guereros en los ejercitos,,2024-04-07 20:01:03,,,,,
lasagesse228,c'est juste magnifique ❤️,,2024-04-07 20:26:07,,,,,
batatessougue,♥️♥️♥️♥️,,2024-04-07 22:45:24,,,,,
papy2107,ORDEN Y DICIPLINA ES PERFECCIÓN.,,2024-04-07 23:41:52,,,,,
salvation6512,"I have not trained but I can beat them all, one by one by running very hard ",,2024-04-06 13:23:22,,,,,
heavyron2,from today I will never play on Chinese wheather old or young,,2024-04-06 13:36:52,,,,,
sagecars,and we are carrying Bible up and down in Africa ,,2024-04-07 21:20:00,,,,,
user1461736534017,"we are jokers in Africa, all we know is pride and arrogance but nothing to show, we know nothing.",,2024-04-07 23:41:40,,,,,
benm1987,I want all of them in South Africa just for 2weeks to clean up juvenile delinquency in my town,,2024-04-06 13:19:46,,,,,
nanabajunior70,world war 3 preparation,,2024-04-07 21:20:20,,,,,
isiomalawrence,"my comment is in Chinese....it goes thus, Wan yan chi samsung chi chi la...",,2024-04-08 00:26:54,,,,,
mrcletus777,I love china ❤️‍,,2024-04-07 21:56:50,,,,,
darcksiekoyana4,Preparing for war?,,2024-04-07 21:59:23,,,,,
jm_karis,I know the kid he is my neighbor...he usually does that when his stomach is full,,2024-04-07 20:51:05,,,,,
user22209978610561,,,2024-04-07 20:44:30,,,,,
user7169032907515,tell Jamaican do that,,2024-04-07 23:56:02,,,,,
4050milonia,"all these no concern an african child for street, you go collect",,2024-04-07 20:50:04,,,,,
user2055816062235ezra,I no fit fight dis boy ,,2024-04-07 21:22:53,,,,,
lebohangsenti,my country would lose a war against these kids,,2024-04-07 20:06:06,,,,,
omoyemionawale,The only way for me to beat this small boy in yellow in kungfu is to use muthi from sangoma,,2024-04-07 21:59:03,,,,,
dinaldoruas,"meus parabéns, para todos.",,2024-04-07 20:07:03,,,,,
lajolie.queen,ti aysyen menm la fé dyól Santi aprann vólé depi piti Pou yo ka di yo black ameriken,,2024-04-08 00:22:45,,,,,
luzialobato35,Nada disciplina ordem e entrega funcionam juntos,,2024-04-06 13:33:20,,,,,
flammelebeau,il est né ceinture noire ou bien il a appris ?,,2024-04-06 13:46:34,,,,,
archilevy,des Bruce Lee en téléchargement,,2024-04-06 13:41:16,,,,,
choc1350,La France devrait prendre exemple ,,2024-04-07 22:46:09,,,,,
erasmydody,parlons en chinois,,2024-04-07 21:20:27,,,,,
elsaohm,Bei aller Liebe das ist reines drillen was die Kids tun mir leid sie sollten in dem Alter spielen und Kindsein dürfen,,2024-04-07 20:19:55,,,,,
marciohopupim,enquanto isso aqui no bostil e outras partes do mundo ideologias idiotas ...nem.precisa dizer sobre futuro,,2024-04-07 23:44:17,,,,,
phucloc6661,KHÔNG DỄ ... Làm Được Như Trung Quốc ... ... ... !???,,2024-04-07 23:58:16,,,,,
layefall166,li mome sene deret la nekue,,2024-04-07 22:37:58,,,,,
juana.guzman.carb,deja disciplinas Dios,,2024-04-08 00:26:11,,,,,
juana.guzman.carb,deja mal camino,,2024-04-08 00:25:32,,,,,
roland22888,黃衣小強很強,,2024-04-07 20:49:37,,,,,
mamadoukone512,He Djokovic je diis vous kes odiennecas vous nous fatigué maintenant depuis le2 petit chitoc vous ont humm le reste imaginé tche je passe hoo humm,,2024-04-07 19:23:38,,,,,
user6152497681411,cet enfant va frappé mon ex lui et toute sa famille,,2024-04-07 19:26:40,,,,,
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/f661b35f2dd5ccc84d6c115e9f607887~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=%2F%2FCqp%2FLfTJ6UFyy47el1YBVsnjc%3D,lordnelson94,240.0,small master,2022-02-24 16:02:27
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d2734c2df15022f12d47a0726cdae864~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=BocnQDFwnTymaJafZXf8bQsXRsg%3D,leo_pard_2,42.0,where can I download this movie and shaolin school,2022-03-23 10:15:39
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b0be2ac089c89ea73c35cad5ceb71114~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=VXtPE598%2B5v0HOvWjOP4kdnAqc0%3D,robieabundance,39.0,Da master!,2022-02-19 13:53:51
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/960e63e47c27df70133c5b8945a9d693.jpg?lk3s=30310797&x-expires=1714370400&x-signature=dsb61REl6JN1S2sNWftEXzw7%2FFU%3D,aayoushlama0,7.0,I love chaina,2022-04-02 03:00:24
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a1f720f924aa4d30455ff366b64ee90f~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=FfXidGpoaheH1DrGZHNt%2Fxt%2FlLU%3D,thediamondlife1,6.0,very impressive,2022-07-20 09:38:34
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a821aa23fce6cb00c36bf070262afc83~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=BDjHA82RssDvnOveRju8TCQtPDg%3D,user939052852560,17.0,زبدست,2022-02-11 10:05:14
,,,,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7354735421445636139~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=Mb1hRilBMoyqL9laIgSdIVhuP%2BI%3D,congamaestra,12.0,it is wonderful,2022-02-11 00:52:22
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7332529508396269574~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=0nrOWg5E2jbMpKYjB%2B2smPu6Cdw%3D,dondwainmillard,28.0,There is zero possibility one kid could be keeping an eye on that many. Not possible,2022-02-17 04:28:08
,,,,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/7d393086b6e6574fee5b859905bd821a~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=GQXdukTqmNsdXVE1yvXHYNWYdDw%3D,freefireeu_offcial,5.0,Allah ,2022-04-04 10:59:37
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/15f7fbf3d4e5e78a6193250f633c2301~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=MWqRe9Hs0rdl34h7nzpe5p%2F1lI8%3D,bigmich68,6.0,what's the title,2022-04-03 18:01:34
,,,,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/1f2578f6d3caba3222391775e51e8191~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=o9RSHV30dCOEw1QV4uHrxyLLrkU%3D,insaafkibaat,12.0,What a style,2022-02-11 13:03:38
,,,,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7344737866095788074~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=mMiQ5ccHXeaj5MLwZGKdZVdtEL8%3D,piterhone,5.0,He’s a teacher at his age,2022-07-28 14:53:43
,,,,https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cfea3d7d9b4a915d508ee75bf3f6e2fe~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=a3vOy35Xdk12sRcQ3BNU38d2s2A%3D,falcont.t,3.0,All that for ip man to solo,2023-01-04 20:58:00
,,,,https://p16-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7346881613864632362~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=KB4wbEdUebOxaQe5iqucz1I2NQ8%3D,hi6.money,39.0,I must agree with the Shaolin kung fu. Don't blink. a really fast art.,2022-01-11 17:46:15
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7330718602865344518~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=FBu8TlODbpRjdnjpa%2BrfSvhyZB8%3D,dondonas449,11.0,Very nice. Very good.,2022-02-10 04:02:49
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d0986b0817d4a3473f6bc24031af9292~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=0WEQEq5PwJLLCWp1JdZhhXfUFnA%3D,pamalicksurr,17.0,i liket you master,2022-02-21 08:54:38
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/02d2e7ce4e29d84062d3b5f193694313~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=MaCbgeoCEFEO9b0yT2bcpUHg%2FEM%3D,user4525571426357,13.0,Hi isDownload or subscribe,2022-03-07 10:17:09
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/7077615767981654018.jpg?lk3s=30310797&x-expires=1714370400&x-signature=hOCxAKC%2F%2B3HyvJuV7R8ncnOsE9g%3D,ccnagi1430,6.0,love it,2022-03-27 00:17:34
,,,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=qzWfDjcqZ5xOe9Jf2AcnzxaskgM%3D,shifu1000,7.0,shaoli little master,2022-03-28 16:09:39
,,,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=qzWfDjcqZ5xOe9Jf2AcnzxaskgM%3D,user8005141835678,8.0,sixty or 6 years old....,2022-01-10 18:54:39
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/afe4b35b14322426905b91260a043616.jpg?lk3s=30310797&x-expires=1714370400&x-signature=Bz0d%2FIZuoUIimBYnob4WF0uDMHU%3D,junaidpak999,6.0,very nice ,2022-04-02 00:21:44
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/f8ff4b97016d9e96aa1128587d0b7e9e.jpg?lk3s=30310797&x-expires=1714370400&x-signature=Ovtm0UwuOsVl19AlXa%2Fe9YExhqc%3D,user1729582976353,6.0,ok,2022-04-02 07:48:08
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/505fc832940353b854c8bebd9b3c937b~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=x7CkZpi8tv0V8NOJemYOvNPWxms%3D,lutz6,17.0,I love you Shaolin...,2022-03-11 20:39:37
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7314745147693596678~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=KZXZkgTRKbYmK68piLmUGvModIY%3D,kledis86,8.0,Little master ,2022-04-02 19:26:24
,,,,https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/9da5d18c2be4f7f25124ae8874f8c159~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=tpDAoBnY3GOr3eDdr%2F8PnNIbQFM%3D,whiteowl1963,47.0,"his Soul is extremely old and each life he became deeper in strength, he would a powerful Shamanic, Honor and Respect ",2022-01-11 18:58:27
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/cb802cf086044d40b0bc881a833674cb~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=QfBBSWpfJN9f1D%2BATfVCxpRGif4%3D,jayjaymoh1,19.0,Train hard fight easy,2022-03-07 07:09:19
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/ee57e8285a7415d7aacf0210decd0bb2~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=owuEQA2UmjfNKkq%2FpOIegVruVGo%3D,marko_ppolo,29.0,Beautiful,2022-02-12 14:28:23
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0791508dd1f8681d50834afc2d69bd6d~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=pr7Xb9UHhoqd0McIanZmQk5Z77g%3D,tiktoktunay,42.0,"I loved my childhood, I was a child playing with my friends having fun .... not a warrior .",2022-03-29 06:30:19
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b0b0756a73c5f150b2201f5f4e22db54~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=4BYIggTgvjNfOX7Box52sRum%2F5Y%3D,worldboss392,17.0,Hi,2022-02-12 01:08:03
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fdb8764c430067319603131dee068b76~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=D0kkRLEnRBv4dwVsdOgz%2B6X1ucE%3D,evansokusi,17.0,amazing,2022-02-13 08:02:00
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/a405c4f01b1f39332cf032b192e191af~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=UzJAV%2FnYM9CB4ulM3CMb97fgmrg%3D,garbasani10,27.0,master,2022-03-24 21:35:40
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6e93fe8e2986259c9be506d148c88714~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=Ih282%2FUixl2Az5vrVddbxYfK9EU%3D,katraxswaibu,20.0,oK,2022-03-05 10:07:31
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/daffb32b80ef8234e5b76de59c3bfca9~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=AH9sKUAqk6Xj%2BKAiAJzfytFlsDM%3D,muhabweraymond,15.0,Best,2022-02-13 21:13:38
,,,,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=qzWfDjcqZ5xOe9Jf2AcnzxaskgM%3D,wendygino69,79.0,What is a kid who's still wet behind his ears has to teach??? If there's no knowledge back down by experience there's no true knowledge...,2022-01-09 20:56:01
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/baa7e4191c0e9cf4bf37af46e00ee48d.jpg?lk3s=30310797&x-expires=1714370400&x-signature=2I7oV6MgRVcyf%2FvxRQTOyN4h5DU%3D,meetsabr1,29.0,"I love it shaolin martial arts, great .",2022-01-11 13:52:49
,,,,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7330022260914749446~c5_100x100.jpg?lk3s=30310797&x-expires=1714370400&x-signature=HML7H8GDHDOghusoG0q83pe0gXc%3D,santaanarenteria,9.0,waaaaooo so beautyfulll,2022-01-10 18:19:47
,,,,https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/7328046633629777940.jpg?lk3s=30310797&x-expires=1714370400&x-signature=EPK7Z1nucRTlRr1Z7e16FDgRgLE%3D,heedy1888,36.0,Boss baby ,2022-01-11 02:51:48
